Year,1998,,,,,,,,,,,,,,,
Points,10,6,4,3,2,1,,,,,,,,,,
Races,Australia,Brazil,Argentina,San Marino,Spain,Monaco,Canada,France,Great Britain,Austria,Germany,Hungary,Belgium,Italy,Luxemburg,Japan
Half Points,,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Jean ALESI,ab,9,5,6,10,12,ab,7,ab,ab,10,7,3,5,10,7
Rubens BARRICHELLO,ab,ab,10,ab,5,ab,5,10,ab,ab,ab,ab,ab,10,11,ab
David COULTHARD,2,2,6,1,2,ab,ab,6,ab,2,2,2,7,ab,3,3
Pedro DINIZ,ab,ab,ab,ab,ab,6,9,14,ab,ab,ab,11,5,ab,ab,ab
Giancarlo FISICHELLA,ab,6,7,ab,ab,2,2,9,5,ab,7,8,ab,8,6,8
Heinz-Harald FRENTZEN,3,5,9,5,8,ab,ab,15,ab,ab,9,5,4,7,5,5
Mika HAKKINEN,1,1,2,ab,1,1,ab,3,2,1,1,6,ab,4,1,1
Johnny HERBERT,6,11,ab,ab,7,7,ab,8,ab,8,ab,10,ab,ab,ab,10
Damon HILL,8,dsq,8,10,ab,8,ab,ab,ab,7,4,4,1,6,9,4
Eddie IRVINE,4,8,3,3,ab,3,3,2,3,4,8,ab,ab,2,4,2
Jan MAGNUSSEN,ab,10,ab,ab,12,ab,6,-,-,-,-,-,-,-,-,-
Shinji NAKANO,ab,ab,13,ab,14,9,7,17,8,11,ab,15,8,ab,15,ab
Olivier PANIS,9,ab,15,11,16,ab,ab,11,ab,ab,15,12,ab,ab,12,11
Ricardo ROSSET,ab,ab,14,ab,nq,nq,8,ab,ab,12,nq,nq,ab,12,ab,nq
Mika SALO,ab,ab,ab,9,ab,4,ab,13,ab,ab,14,ab,ab,ab,14,ab
Michael SCHUMACHER,ab,3,1,2,3,10,1,1,1,3,5,1,ab,1,2,ab
Ralf SCHUMACHER,ab,ab,ab,7,11,ab,ab,16,6,5,6,9,2,3,ab,ab
Tora TAKAGI,ab,ab,12,ab,13,11,ab,ab,9,ab,13,14,ab,9,16,ab
Jarno TRULLI,ab,ab,11,ab,9,ab,ab,ab,ab,10,12,ab,6,13,ab,12
Esteban TUERO,ab,ab,ab,8,15,ab,ab,ab,ab,ab,16,ab,ab,11,nc,ab
Jos VERSTAPPEN,-,-,-,-,-,-,-,12,ab,ab,ab,13,ab,ab,13,ab
Jacques VILLENEUVE,5,7,ab,4,6,5,10,4,7,6,3,3,ab,ab,8,6
Alexander WURZ,7,4,4,ab,4,ab,4,5,4,9,11,16,ab,ab,7,9
