Year,2001,,,,,,,,,,,,,,,,
Points,10,6,4,3,2,1,,,,,,,,,,,
Races,Australia,Malaysia,Brazil,San Marino,Spain,Austria,Monaco,Canada,Europe,France,Great Britain,Germany,Hungary,Belgium,Italy,USA,Japan
Half Points,,,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Jean ALESI,9,9,8,9,10,10,6,5,15,12,11,6,10,6,8,7,ab
Fernando ALONSO,12,13,ab,ab,13,ab,ab,ab,14,17,16,10,ab,ab,13,ab,11
Rubens BARRICHELLO,3,2,ab,3,ab,3,2,ab,5,3,3,2,2,5,2,15,5
Enrique BERNOLDI,ab,ab,ab,10,ab,ab,9,ab,ab,ab,14,8,ab,12,ab,13,14
Luciano BURTI,8,10,ab,11,11,11,ab,8,12,10,ab,ab,ab,ab,-,-,-
Jenson BUTTON,14,11,10,12,15,ab,7,ab,13,16,15,5,ab,ab,ab,9,7
David COULTHARD,2,3,1,2,5,1,5,ab,3,4,ab,ab,3,2,ab,3,3
Pedro de la ROSA,-,-,-,-,ab,ab,ab,6,8,14,12,ab,11,ab,5,12,ab
Tomas ENGE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,14,ab
Giancarlo FISICHELLA,13,ab,6,ab,14,ab,ab,ab,11,11,13,4,ab,3,10,8,17
Heinz-Harald FRENTZEN,5,4,ab,6,ab,ab,ab,f,ab,8,7,-,ab,9,ab,10,12
Mika HAKKINEN,ab,6,ab,4,9,ab,ab,3,6,np,1,ab,5,4,ab,1,4
Nick HEIDFELD,4,ab,3,7,6,9,ab,ab,ab,6,6,ab,6,ab,11,6,9
Eddie IRVINE,11,ab,ab,ab,ab,7,3,ab,7,ab,9,ab,ab,ab,ab,5,ab
Tarso MARQUES,ab,14,9,ab,16,ab,ab,9,ab,15,nq,ab,ab,13,-,-,-
Gaston MAZZACANE,ab,12,ab,ab,-,-,-,-,-,-,-,-,-,-,-,-,-
Juan-Pablo MONTOYA,ab,ab,ab,ab,2,ab,ab,ab,2,ab,4,ab,8,ab,1,ab,2
Olivier PANIS,7,ab,4,8,7,5,ab,ab,ab,9,ab,7,ab,11,9,11,13
Kimi RAIKKONEN,6,ab,ab,ab,8,4,10,4,10,7,5,ab,7,ab,7,ab,ab
Michael SCHUMACHER,1,1,2,ab,1,2,1,2,1,1,2,ab,1,1,4,2,1
Ralf SCHUMACHER,ab,5,ab,1,ab,ab,ab,1,4,2,ab,1,4,7,3,ab,6
Jarno TRULLI,ab,8,5,5,4,dsq,ab,11,ab,5,ab,ab,ab,ab,ab,4,8
Jos VERSTAPPEN,10,7,ab,ab,12,6,8,10,ab,13,10,9,12,10,ab,ab,15
Jacques VILLENEUVE,ab,ab,7,ab,3,8,4,ab,9,ab,8,3,9,8,6,ab,10
Alex YOONG,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ab,ab,16
Ricardo ZONTA,-,-,-,-,-,-,-,7,-,-,-,ab,-,-,-,-,-
