Year,2004,,,,,,,,,,,,,,,,,
Points,10,8,6,5,4,3,2,1,,,,,,,,,,
Races,Australia,Malaysia,Bahrain,San Marino,Spain,Monaco,Europe,Canada,USA,France,Great Britain,Germany,Hungary,Belgium,Italy,China,Japan,Brazil
Half Points,,,,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Fernando ALONSO,3,7,6,4,4,ab,5,ab,ab,2,10,3,3,ab,ab,4,5,4
Rubens BARRICHELLO,2,4,2,6,2,3,2,2,2,3,3,12,2,3,1,1,ab,3
Zsolt BAUMGARTNER,ab,16,ab,15,ab,9,15,10,8,ab,ab,16,15,ab,15,16,ab,16
Gimmi BRUNI,nc,14,17,ab,ab,ab,14,ab,ab,18,16,17,14,ab,ab,ab,16,17
Jenson BUTTON,6,3,3,2,8,2,3,3,ab,5,4,2,5,ab,3,2,3,ab
David COULTHARD,8,6,ab,12,10,ab,ab,6,7,6,7,4,9,7,6,9,ab,11
Cristiano da MATTA,12,9,10,ab,13,6,ab,dsq,ab,14,13,ab,-,-,-,-,-,-
Giancarlo FISICHELLA,10,11,11,9,7,ab,6,4,9,12,6,9,8,5,8,7,8,9
Marc GENE,-,-,-,-,-,-,-,-,-,10,12,-,-,-,-,-,-,-
Timo GLOCK,t,t,t,t,t,t,t,7,t,t,t,t,t,t,t,15,15,15
Nick HEIDFELD,ab,ab,15,ab,ab,7,10,8,ab,16,15,ab,12,11,14,13,13,ab
Christian KLIEN,11,10,14,14,ab,ab,12,9,ab,11,14,10,13,6,13,ab,12,14
Felipe MASSA,ab,8,12,10,9,5,9,ab,ab,13,9,13,ab,4,12,8,9,8
Juan-Pablo MONTOYA,5,2,13,3,ab,4,8,dsq,dsq,8,5,5,4,ab,5,5,7,1
Olivier PANIS,13,12,9,11,ab,8,11,dsq,5,15,ab,14,11,8,ab,14,14,-
Giorgio PANTANO,14,13,16,ab,ab,ab,13,-,ab,17,ab,15,ab,ab,ab,-,-,-
Antonio PIZZONIA,-,-,-,-,-,-,-,-,-,-,-,7,7,ab,7,-,-,-
Kimi RAIKKONEN,ab,ab,ab,8,11,ab,ab,5,6,7,2,ab,ab,1,ab,3,6,2
Takuma SATO,9,15,5,16,5,ab,ab,ab,3,ab,11,8,6,ab,4,6,4,6
Michael SCHUMACHER,1,1,1,1,1,ab,1,1,1,1,1,1,1,2,2,12,1,7
Ralf SCHUMACHER,4,ab,7,7,6,10,ab,dsq,ab,-,-,-,-,-,-,ab,2,5
Jarno TRULLI,7,5,4,5,3,1,4,ab,4,4,ab,11,ab,9,10,-,11,12
Jacques VILLENEUVE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,10,10
Mark WEBBER,ab,ab,8,13,12,ab,7,ab,ab,9,8,6,10,ab,9,10,ab,ab
Ricardo ZONTA,t,t,t,t,t,t,t,t,t,t,t,t,ab,10,11,ab,-,13
