Year,2006,,,,,,,,,,,,,,,,,
Points,10,8,6,5,4,3,2,1,,,,,,,,,,
Races,Bahrain,Malaysia,Australia,San Marino,Europe,Spain,Monaco,Great Britain,Canada,USA,France,Germany,Hungary,Turkey,Italy,China,Japan,Brazil
Half Points,,,,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Christijan ALBERS,ab,12,11,ab,13,ab,12,15,ab,ab,15,dsq,10,ab,17,15,ab,14
Fernando ALONSO,1,2,1,2,2,1,1,1,1,5,2,5,ab,2,ab,2,1,2
Rubens BARRICHELLO,15,10,7,10,5,7,4,10,ab,6,ab,ab,4,8,6,6,12,7
Jenson BUTTON,4,3,10,7,ab,6,11,ab,9,ab,ab,4,1,4,5,4,4,3
David COULTHARD,10,ab,8,ab,ab,14,3,12,8,7,9,11,5,15,12,9,ab,ab
Pedro de la ROSA,-,-,-,-,-,-,-,-,-,-,7,ab,2,5,ab,5,11,8
Robert DOORNBOS,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,12,13,12
Giancarlo FISICHELLA,ab,1,5,8,6,3,6,4,4,3,6,6,ab,6,4,3,3,6
Nick HEIDFELD,12,ab,4,13,10,8,7,7,7,ab,8,ab,3,14,8,7,8,17
Yuji IDE,ab,ab,13,ab,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Christian KLIEN,8,ab,ab,ab,ab,13,ab,14,11,ab,12,8,ab,11,11,-,-,-
Robert KUBICA,t,t,t,t,t,t,t,t,t,t,t,t,dsq,12,3,13,9,9
Vitantonio LIUZZI,11,11,ab,14,ab,15,10,13,13,8,13,10,ab,ab,14,10,14,13
Felipe MASSA,9,5,ab,4,3,4,9,5,5,2,3,2,7,1,9,ab,2,1
Franck MONTAGNY,-,-,-,-,ab,ab,16,18,ab,ab,16,-,-,t,t,t,t,t
Tiago MONTEIRO,17,13,ab,16,12,16,15,16,14,ab,ab,dsq,9,ab,ab,ab,16,15
Juan-Pablo MONTOYA,5,4,ab,3,ab,ab,2,6,ab,ab,-,-,-,-,-,-,-,-
Kimi RAIKKONEN,3,ab,2,5,4,5,ab,3,3,ab,5,3,ab,ab,2,ab,5,5
Nico ROSBERG,7,ab,ab,11,7,11,ab,9,ab,9,14,ab,ab,ab,ab,11,10,ab
Takuma SATO,18,14,12,ab,ab,17,ab,17,15,ab,ab,ab,13,nc,16,dsq,15,10
Michael SCHUMACHER,2,6,ab,1,1,2,5,2,2,1,1,1,8,3,1,1,ab,4
Ralf SCHUMACHER,14,8,3,9,ab,ab,8,ab,ab,ab,4,9,6,7,15,ab,7,ab
Scott SPEED,13,ab,9,15,11,ab,13,ab,10,ab,10,12,11,13,13,14,18,11
Jarno TRULLI,16,9,ab,ab,9,10,17,11,6,4,ab,7,12,9,7,ab,6,ab
Jacques VILLENEUVE,ab,7,6,12,8,12,14,8,ab,ab,11,ab,-,-,-,-,-,-
Mark WEBBER,6,ab,ab,6,ab,9,ab,ab,12,ab,ab,ab,ab,10,10,8,ab,ab
Sakon YAMAMOTO,-,-,-,-,-,-,-,t,t,t,t,ab,ab,ab,ab,16,17,16
