Year,1994,,,,,,,,,,,,,,,
Points,10,6,4,3,2,1,,,,,,,,,,
Sprint Points,,,,,,,,,,,,,,,,
Races,Brazil,Pacific,San Marino,Monaco,Spain,Canada,France,Great Britain,Germany,Hungary,Belgium,Italy,Portugal,Europe,Japan,Australia
Half Points,,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Philippe ADAMS,-,-,-,-,-,-,-,-,-,-,ab,-,16,-,-,-
Michele ALBORETO,ab,ab,ab,6,ab,11,ab,ab,ab,7,9,ab,13,14,ab,ab
Jean ALESI,3,-,-,5,4,3,ab,2,ab,ab,ab,ab,ab,10,3,6
Philippe ALLIOT,-,-,-,-,-,-,-,-,-,ab,ab,-,-,-,-,-
Rubens BARRICHELLO,4,3,nq,ab,ab,7,ab,4,ab,ab,ab,4,4,12,ab,4
Paul BELMONDO,nq,nq,nq,ab,ab,nq,nq,nq,nq,nq,nq,nq,nq,nq,nq,nq
Olivier BERETTA,ab,ab,ab,8,np,ab,ab,14,7,9,-,-,-,-,-,-
Gerhard BERGER,ab,2,ab,3,ab,4,3,ab,1,12,ab,2,ab,5,ab,2
Eric BERNARD,ab,10,12,ab,8,13,ab,13,3,10,10,7,10,18,-,-
Mark BLUNDELL,ab,ab,9,ab,3,10,10,ab,ab,5,5,ab,ab,13,ab,ab
David BRABHAM,12,ab,ab,ab,10,14,ab,15,ab,11,ab,ab,ab,ab,12,ab
Martin BRUNDLE,ab,ab,8,2,11,ab,ab,ab,ab,4,ab,5,6,ab,ab,3
Erik COMAS,9,6,ab,10,ab,ab,11,ab,6,8,ab,8,ab,ab,9,-
David COULTHARD,-,-,-,-,ab,5,-,5,ab,ab,4,6,2,-,-,-
Yannick DALMAS,-,-,-,-,-,-,-,-,-,-,-,ab,14,-,-,-
Andrea De CESARIS,-,-,ab,4,-,ab,6,ab,ab,ab,ab,ab,ab,ab,-,-
Jean-Denis DELETRAZ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ab
Christian FITTIPALDI,ab,4,13,ab,ab,dsq,8,9,4,14,ab,ab,8,17,8,8
Heinz-Harald FRENTZEN,ab,5,7,np,ab,ab,4,7,ab,ab,ab,ab,ab,6,6,7
Bertrand GACHOT,ab,nq,ab,ab,ab,ab,nq,nq,nq,nq,nq,nq,nq,nq,nq,nq
Jean-Marc GOUNON,-,-,-,-,-,-,9,16,ab,ab,11,ab,15,-,-,-
Mika HAKKINEN,ab,ab,3,ab,ab,ab,ab,3,ab,-,2,3,3,3,7,12
Johnny HERBERT,7,7,10,ab,ab,8,7,11,ab,ab,12,ab,11,8,ab,ab
Damon HILL,2,ab,6,ab,1,2,2,1,8,2,1,1,1,2,1,ab
Taki INOUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ab,-
Eddie IRVINE,ab,-,-,-,6,ab,ab,np,ab,ab,13,ab,7,4,5,ab
Ukyo KATAYAMA,5,ab,5,ab,ab,ab,ab,6,ab,ab,ab,ab,ab,7,ab,ab
Franck LAGORCE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ab,11
Pedro LAMY,10,8,ab,11,-,-,-,-,-,-,-,-,-,-,-,-
Nicola LARINI,-,ab,2,-,-,-,-,-,-,-,-,-,-,-,-,-
JJ LEHTO,-,-,ab,7,ab,6,-,-,-,-,-,9,ab,-,ab,10
Nigel MANSELL,-,-,-,-,-,-,ab,-,-,-,-,-,-,ab,4,1
Pierluigi MARTINI,8,ab,ab,ab,5,9,5,10,ab,ab,8,ab,12,15,ab,9
Andrea MONTERMINI,-,-,-,-,nq,-,-,-,-,-,-,-,-,-,-,-
Gianni MORBIDELLI,ab,ab,ab,ab,ab,ab,ab,ab,5,ab,6,ab,9,11,ab,ab
Hideki NODA,-,-,-,-,-,-,-,-,-,-,-,-,-,ab,ab,ab
Olivier PANIS,11,9,11,9,7,12,ab,12,2,6,7,10,dsq,9,11,5
Roland RATZENBERGER,nq,11,np,-,-,-,-,-,-,-,-,-,-,-,-,-
Mika SALO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,ab
Domenico SCHIATTARELLA,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,ab
Michael SCHUMACHER,1,1,1,1,2,1,1,dsq,ab,1,dsq,-,-,1,2,ab
Ayrton SENNA,ab,ab,ab,-,-,-,-,-,-,-,-,-,-,-,-,-
Aguri SUZUKI,-,ab,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jos VERSTAPPEN,ab,ab,-,-,-,-,ab,8,ab,3,3,ab,5,ab,-,-
Karl WENDLINGER,6,ab,4,np,f,-,-,-,-,-,-,-,-,-,-,-
Alessandro ZANARDI,-,-,-,-,9,15,ab,ab,ab,13,-,ab,-,16,13,ab
