Year,2007,,,,,,,,,,,,,,,,
Points,10,8,6,5,4,3,2,1,,,,,,,,,
Sprint Points,,,,,,,,,,,,,,,,,
Races,Australia,Malaysia,Bahrain,Spain,Monaco,Canada,USA,France,Great Britain,Europe,Hungary,Turkey,Italy,Belgium,Japan,China,Brazil
Half Points,,,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Christijan ALBERS,ab,ab,14,14,19,ab,15,ab,15,-,-,-,-,-,-,-,-
Fernando ALONSO,2,1,5,3,1,7,2,7,2,1,4,3,1,3,ab,2,3
Rubens BARRICHELLO,11,11,13,10,10,12,ab,11,9,11,18,17,10,13,10,15,ab
Jenson BUTTON,15,12,ab,12,11,ab,12,8,10,ab,ab,13,8,ab,11,5,ab
David COULTHARD,ab,ab,ab,5,14,ab,ab,13,11,5,11,10,ab,ab,4,8,9
Anthony DAVIDSON,16,16,16,11,18,11,11,ab,ab,12,ab,14,14,16,ab,ab,14
Giancarlo FISICHELLA,5,6,8,9,4,dsq,9,6,8,10,12,9,12,ab,5,11,ab
Lewis HAMILTON,3,2,2,2,2,1,1,3,3,9,1,5,2,4,1,ab,7
Nick HEIDFELD,4,4,4,ab,6,2,ab,5,6,6,3,4,4,5,14,7,6
Heikki KOVALAINEN,10,8,9,7,13,4,5,15,7,8,8,6,7,8,2,9,ab
Robert KUBICA,ab,18,6,4,5,ab,-,4,4,7,5,8,5,9,7,ab,5
Vitantonio LIUZZI,14,17,ab,ab,ab,ab,17,ab,16,ab,ab,15,17,12,9,6,13
Felipe MASSA,6,5,1,1,3,dsq,3,2,5,2,13,1,ab,2,6,3,2
Kazuki NAKAJIMA,t,t,-,-,-,t,t,-,-,-,-,-,-,-,-,t,10
Kimi RAIKKONEN,1,3,3,ab,8,5,4,1,1,ab,2,2,3,1,3,1,1
Nico ROSBERG,7,ab,10,6,12,10,16,9,12,ab,7,7,6,6,ab,16,4
Takuma SATO,12,13,ab,8,17,6,ab,16,14,ab,15,18,16,15,15,14,12
Ralf SCHUMACHER,8,15,12,ab,16,8,ab,10,ab,ab,6,12,15,10,ab,ab,11
Scott SPEED,ab,14,ab,ab,9,ab,13,ab,ab,ab,-,-,-,-,-,-,-
Adrian SUTIL,17,ab,15,13,ab,ab,14,17,ab,ab,17,21,19,14,8,ab,ab
Jarno TRULLI,9,7,7,ab,15,ab,6,ab,ab,13,10,16,11,11,13,13,8
Sebastian VETTEL,t,t,-,-,-,-,8,-,-,-,16,19,18,ab,ab,4,ab
Mark WEBBER,13,10,ab,ab,ab,9,7,12,ab,3,9,ab,9,7,ab,10,ab
Alexander WURZ,ab,9,11,ab,7,3,10,14,13,4,14,11,13,ab,ab,12,-
Sakon YAMAMOTO,-,-,-,-,-,-,-,-,-,-,ab,20,20,17,12,17,ab
