Year,2012,,,,,,,,,,,,,,,,,,,
Points,25,18,15,12,10,8,6,4,2,1,,,,,,,,,,
Sprint Points,,,,,,,,,,,,,,,,,,,,
Races,Australia,Malaysia,China,Bahrain,Spain,Monaco,Canada,Europe,Great Britain,Germany,Hungary,Belgium,Italy,Singapore,Japan,Korea,India,Abu Dhabi,USA,Brazil
Half Points,,,,,,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Fernando ALONSO,5,1,9,7,2,3,5,1,2,1,5,ab,3,3,ab,3,2,2,3,2
Jenson BUTTON,1,14,2,18,9,16,16,8,10,2,6,1,ab,2,4,ab,5,4,5,1
Jérôme d'AMBROSIO,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-
Pedro de la ROSA,nq,21,21,20,19,ab,ab,17,20,21,22,18,18,17,18,ab,ab,17,21,17
Paul di RESTA,10,7,12,6,14,7,11,7,ab,11,12,10,8,4,12,12,12,9,15,19
Timo GLOCK,14,17,19,19,18,14,ab,np,18,22,21,15,17,12,16,18,20,14,19,16
Romain GROSJEAN,ab,ab,6,3,4,ab,2,ab,6,18,3,ab,-,7,19,7,9,ab,7,ab
Lewis HAMILTON,3,3,3,8,8,5,1,19,8,ab,1,ab,1,ab,5,10,4,ab,1,ab
Nico HULKENBERG,ab,9,15,12,10,8,12,5,12,9,11,4,21,14,7,6,8,ab,8,5
Narain KARTHIKEYAN,nq,22,22,21,ab,15,ab,18,21,23,ab,ab,19,ab,ab,20,21,ab,22,18
Kamui KOBAYASHI,6,ab,10,13,5,ab,9,ab,11,4,18,13,9,13,3,ab,14,6,14,9
Heikki KOVALAINEN,ab,18,23,17,16,13,18,14,17,19,17,17,14,15,15,17,18,13,18,14
Pastor MALDONADO,13,19,8,ab,1,ab,13,12,16,15,13,ab,11,ab,8,14,16,5,9,ab
Felipe MASSA,ab,15,13,9,15,6,10,16,4,12,9,5,4,8,2,4,6,7,4,3
Sergio PEREZ,8,2,11,11,ab,11,3,9,ab,6,14,ab,2,10,ab,11,ab,15,11,ab
Vitaly PETROV,ab,16,18,16,17,ab,19,13,np,16,19,14,15,19,17,16,17,16,17,11
Charles PIC,15,20,20,ab,ab,ab,20,15,19,20,20,16,16,16,ab,19,19,ab,20,12
Kimi RAIKKONEN,7,5,14,2,3,9,8,2,5,3,2,3,5,6,6,5,7,1,6,10
Daniel RICCIARDO,9,12,17,15,13,ab,14,11,13,13,15,9,12,9,10,9,13,10,12,13
Nico ROSBERG,12,13,1,5,7,2,6,6,15,10,10,11,7,5,ab,ab,11,ab,13,15
Michael SCHUMACHER,ab,10,ab,10,ab,ab,ab,3,7,7,ab,7,6,ab,11,13,22,11,16,7
Bruno SENNA,16,6,7,22,ab,10,17,10,9,17,7,12,10,18,14,15,10,8,10,ab
Jean-Éric VERGNE,11,8,16,14,12,12,15,ab,14,14,16,8,ab,ab,13,8,15,12,ab,8
Sebastian VETTEL,2,11,5,1,6,4,4,ab,3,5,4,2,22,1,1,1,1,3,2,6
Mark WEBBER,4,4,4,4,11,1,7,4,1,8,8,6,20,11,9,2,3,ab,ab,4
