Year,2013,,,,,,,,,,,,,,,,,,
Points,25,18,15,12,10,8,6,4,2,1,,,,,,,,,
Sprint Points,,,,,,,,,,,,,,,,,,,
Races,Australia,Malaysia,China,Bahrain,Spain,Monaco,Canada,Great Britain,Germany,Hungary,Belgium,Italy,Singapore,Korea,Japan,India,Abu Dhabi,USA,Brazil
Half Points,,,,,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Fernando ALONSO,2,ab,1,8,1,7,2,3,4,5,2,2,2,6,4,11,5,5,3
Jules BIANCHI,15,13,15,19,18,ab,17,16,ab,16,18,19,18,16,ab,18,20,18,17
Valtteri BOTTAS,14,11,13,14,16,12,14,12,16,ab,15,15,13,12,17,16,15,8,ab
Jenson BUTTON,9,17,5,10,8,6,12,13,6,7,6,10,7,8,9,14,12,10,4
Max CHILTON,17,16,17,20,19,14,19,17,19,17,19,20,17,17,19,17,21,21,19
Paul di RESTA,8,ab,8,4,7,9,7,9,11,18,ab,ab,20,ab,11,8,6,15,11
Romain GROSJEAN,10,6,9,3,ab,ab,13,19,3,6,8,8,ab,3,3,3,4,2,ab
Esteban GUTIERREZ,13,12,ab,18,11,13,20,14,14,ab,14,13,12,11,7,15,13,13,12
Lewis HAMILTON,5,3,3,5,12,4,3,4,5,1,3,9,5,5,ab,6,7,4,9
Nico HULKENBERG,np,8,10,12,15,11,ab,10,10,11,13,5,9,4,6,19,14,6,8
Heikki KOVALAINEN,-,-,-,t,t,-,-,-,-,-,t,t,-,-,t,-,t,14,14
Pastor MALDONADO,ab,ab,14,11,14,ab,16,11,15,10,17,14,11,13,16,12,11,17,16
Felipe MASSA,4,5,6,15,3,ab,8,6,ab,8,7,4,6,9,10,4,8,12,7
Sergio PEREZ,11,9,11,6,9,16,11,20,8,9,11,12,8,10,15,5,9,7,6
Charles PIC,16,14,16,17,17,ab,18,15,17,15,ab,17,19,14,18,ab,19,20,ab
Kimi RAIKKONEN,1,7,2,2,2,10,9,5,2,2,ab,11,3,2,5,7,ab,-,-
Daniel RICCIARDO,ab,18,7,16,10,ab,15,8,12,13,10,7,ab,19,13,10,16,11,10
Nico ROSBERG,ab,4,ab,9,6,1,5,1,9,19,4,6,4,7,8,2,3,9,5
Adrian SUTIL,7,ab,ab,13,13,5,10,7,13,ab,9,16,10,20,14,9,10,ab,13
Giedo van der GARDE,18,15,18,21,ab,15,ab,18,18,14,16,18,16,15,ab,ab,18,19,18
Jean-Éric VERGNE,12,10,12,ab,ab,8,6,ab,ab,12,12,ab,14,18,12,13,17,16,15
Sebastian VETTEL,3,1,4,1,4,2,1,ab,1,3,1,1,1,1,1,1,1,1,1
Mark WEBBER,6,2,ab,7,5,3,4,2,7,4,5,3,15,ab,2,ab,2,3,2
