Year,2016,,,,,,,,,,,,,,,,,,,,
Points,25,18,15,12,10,8,6,4,2,1,,,,,,,,,,,
Races,Australia,Bahrain,China,Russia,Spain,Monaco,Canada,Europe,Austria,Great Britain,Hungary,Germany,Belgium,Italy,Singapore,Malaysia,Japan,USA,Mexico,Brazil,Abu Dhabi
Half Points,,,,,,,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Fernando ALONSO,ab,f,12,6,ab,5,11,ab,18,13,7,12,7,14,7,7,16,5,13,10,10
Valtteri BOTTAS,8,9,10,4,5,12,3,6,9,14,9,9,8,6,ab,5,10,16,8,11,ab
Jenson BUTTON,14,ab,13,10,9,9,ab,11,6,12,ab,8,ab,12,ab,9,18,9,12,16,ab
Marcus ERICSSON,ab,12,16,14,12,ab,15,17,15,ab,20,18,ab,16,17,12,15,14,11,ab,15
Romain GROSJEAN,6,5,19,8,ab,13,14,13,7,ab,14,13,13,11,np,ab,11,10,20,np,11
Esteban GUTIERREZ,ab,ab,14,17,11,11,13,16,11,16,13,11,12,13,11,ab,20,ab,19,ab,12
Lewis HAMILTON,2,3,7,2,ab,1,1,5,1,1,1,1,3,2,3,ab,3,1,1,1,1
Rio HARYANTO,ab,17,21,ab,17,15,19,18,16,ab,21,20,-,-,-,-,-,-,-,-,-
Nico HULKENBERG,7,15,15,ab,ab,6,8,9,19,7,10,7,4,10,ab,8,8,ab,7,7,7
Daniil KVYAT,np,7,3,15,10,ab,12,ab,ab,10,16,15,14,ab,9,14,13,11,18,13,ab
Kevin MAGNUSSEN,12,11,17,7,15,ab,16,14,14,17,15,16,ab,17,10,ab,14,12,17,14,ab
Felipe MASSA,5,8,6,5,8,10,ab,10,20,11,18,ab,10,9,12,13,9,7,9,ab,9
Felipe NASR,15,14,20,16,14,ab,18,12,13,15,17,ab,17,ab,13,ab,19,15,15,9,16
Esteban OCON,-,-,-,-,t,-,-,-,-,t,t,t,16,18,18,16,21,18,21,12,13
Jolyon PALMER,11,np,22,13,13,ab,ab,15,12,ab,12,19,15,ab,15,10,12,13,14,ab,17
Sergio PEREZ,13,16,11,9,7,3,10,3,17,6,11,10,5,8,8,6,7,8,10,4,8
Kimi RAIKKONEN,ab,2,5,3,2,ab,6,4,3,5,6,6,9,4,4,4,5,ab,6,ab,6
Daniel RICCIARDO,4,4,4,11,4,2,7,7,5,4,3,2,2,5,2,1,6,3,3,8,5
Nico ROSBERG,1,1,1,1,ab,7,5,1,4,3,2,4,1,1,1,3,1,2,2,2,2
Carlos SAINZ,9,ab,9,12,6,8,9,ab,8,8,8,14,ab,15,14,11,17,6,16,6,ab
Stoffel VANDOORNE,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Max VERSTAPPEN,10,6,8,ab,1,ab,4,8,2,2,5,3,11,7,6,2,2,ab,4,3,4
Sebastian VETTEL,3,np,2,ab,3,4,2,2,ab,9,4,5,6,3,5,ab,4,4,5,5,3
Pascal WEHRLEIN,16,13,18,18,16,14,17,ab,10,ab,19,17,ab,ab,16,15,22,17,ab,15,14
