Year,2022,,,,,,,,,,,,,,,,,,,,,,,,
Points,25,18,15,12,10,8,6,4,2,1,,,,,,,,,,,,,,,
Sprint Points,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,
Races,Bahrain,Saudi Arabia,Australia,SPRINT Emilia-Romagna,Emilia-Romagna,Miami,Spain,Monaco,Azerbaijan,Canada,Great Britain,SPRINT Austria,Austria,France,Hungary,Belgium,Netherlands,Italy,Singapore,Japan,USA,Mexico,SPRINT Brazil,Brazil,Abu Dhabi
Half Points,,,,,,,,,,,,,,,,,,,,,,,,,
Fastest Lap Point,Charles LECLERC,Charles LECLERC,Charles LECLERC,,Max VERSTAPPEN,Max VERSTAPPEN,Sergio PEREZ,Lando NORRIS,Sergio PEREZ,Carlos SAINZ,Lewis HAMILTON,,Max VERSTAPPEN,Carlos SAINZ,Lewis HAMILTON,Max VERSTAPPEN,Max VERSTAPPEN,Sergio PEREZ,,,George RUSSELL,George RUSSELL,,George RUSSELL,Lando NORRIS
,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander ALBON,13,14,10,18,11,9,18,ab,12,13,ab,16,12,13,17,10,12,f,ab,ab,13,12,20,15,13
Fernando ALONSO,9,ab,17,9,ab,11,9,7,7,9,5,20,10,6,8,5,6,ab,ab,7,7,19,18,5,ab
Valtteri BOTTAS,6,ab,8,7,5,7,6,9,11,7,ab,10,11,14,20,ab,ab,13,11,15,ab,10,14,9,15
Nyck de VRIES,-,-,-,-,-,-,t,-,-,-,-,-,-,t,-,-,-,9,-,-,-,t,-,-,-
Pierre GASLY,ab,8,9,17,12,ab,13,11,5,14,ab,15,15,12,12,9,11,8,10,18,14,11,10,14,14
Lewis HAMILTON,3,10,4,14,13,6,5,8,4,3,3,8,3,2,2,ab,4,5,9,5,2,2,3,2,18
Nico HULKENBERG,17,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nicholas LATIFI,16,ab,16,19,16,14,16,15,15,16,12,18,ab,ab,18,18,18,15,ab,9,17,18,19,16,19
Charles LECLERC,1,2,1,2,6,2,ab,4,ab,5,4,2,1,ab,6,6,3,2,2,3,3,6,6,4,2
Kevin MAGNUSSEN,5,9,14,8,9,16,17,ab,ab,17,10,7,8,ab,16,16,15,16,12,14,9,17,8,ab,17
Lando NORRIS,15,7,5,5,3,ab,8,6,9,15,6,11,7,7,7,12,7,7,4,10,6,9,7,ab,6
Esteban OCON,7,6,7,16,14,8,7,12,10,6,ab,6,5,8,9,7,9,11,ab,4,11,8,17,8,7
Sergio PEREZ,18,4,2,3,2,4,2,1,2,ab,2,5,ab,4,5,2,5,6,1,2,4,3,5,7,3
Daniel RICCIARDO,14,ab,6,6,18,13,12,13,8,11,13,12,9,9,15,15,17,ab,5,11,16,7,11,ab,9
George RUSSELL,4,5,3,11,4,5,3,5,3,4,ab,4,4,3,3,4,2,3,14,8,5,4,1,1,5
Carlos SAINZ,2,3,ab,4,ab,3,4,2,ab,2,1,3,ab,5,4,3,8,4,3,ab,ab,5,2,3,4
Mick SCHUMACHER,11,f,13,10,17,15,14,ab,14,ab,8,9,6,15,14,17,13,12,13,17,15,16,12,13,16
Lance STROLL,12,13,12,15,10,10,15,14,16,10,11,13,13,10,11,11,10,ab,6,12,ab,15,16,10,8
Yuki TSUNODA,8,np,15,12,7,12,10,17,13,ab,14,17,16,ab,19,13,ab,14,ab,13,10,ab,15,17,11
Max VERSTAPPEN,19,1,ab,1,1,1,1,3,1,1,7,1,2,1,1,1,1,1,7,1,1,1,4,6,1
Sebastian VETTEL,f,-,ab,13,8,17,11,10,6,12,9,19,17,11,10,8,14,ab,8,6,8,14,9,11,10
Guanyu ZHOU,10,11,11,20,15,ab,ab,16,ab,8,ab,14,14,16,13,14,16,10,ab,16,12,13,13,12,12
