Year,1995,,,,,,,,,,,,,,,,
Points,10,6,4,3,2,1,,,,,,,,,,,
Sprint Points,,,,,,,,,,,,,,,,,
Races,Brazil,Argentina,San Marino,Spain,Monaco,Canada,France,Great Britain,Germany,Hungary,Belgium,Italy,Portugal,Europe,Pacific,Japan,Australia
Half Points,,,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Jean ALESI,5,2,2,ab,ab,1,5,2,ab,ab,ab,ab,5,2,5,ab,ab
Luca BADOER,ab,ab,14,ab,ab,8,13,10,ab,8,ab,ab,14,11,15,9,np
Rubens BARRICHELLO,ab,ab,ab,7,ab,2,6,11,ab,7,6,ab,11,4,ab,ab,ab
Paul BELMONDO,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gerhard BERGER,3,6,3,3,3,11,12,ab,3,3,ab,ab,4,ab,4,ab,ab
Eric BERNARD,-,-,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mark BLUNDELL,6,ab,-,-,5,ab,11,5,ab,ab,5,4,9,ab,9,7,4
Christophe BOUCHUT,-,-,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jean-Christophe BOULLION,-,-,-,-,8,ab,ab,9,5,10,11,6,12,ab,ab,-,-
Martin BRUNDLE,-,-,-,9,ab,10,4,ab,-,ab,3,ab,8,7,-,-,ab
David COULTHARD,2,ab,4,ab,ab,ab,3,3,2,2,ab,ab,1,3,2,ab,ab
Jean-Denis DELETRAZ,-,-,-,-,-,-,-,-,-,-,-,-,ab,15,-,-,-
Pedro DINIZ,10,nc,15,ab,10,ab,ab,ab,ab,ab,13,9,16,13,17,ab,7
Heinz-Harald FRENTZEN,ab,5,6,8,6,ab,10,6,ab,5,4,3,6,ab,7,8,ab
Bertrand GACHOT,ab,ab,ab,ab,ab,ab,ab,12,-,-,-,-,-,-,ab,ab,8
Oliver GAVIN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,f
Mika HAKKINEN,4,ab,5,ab,ab,ab,7,ab,ab,ab,ab,2,ab,8,-,2,np
Johnny HERBERT,ab,4,7,2,4,ab,ab,1,4,4,7,1,7,5,6,3,ab
Damon HILL,ab,1,1,4,2,ab,2,ab,ab,1,2,ab,3,ab,3,ab,1
Taki INOUE,ab,ab,ab,ab,ab,9,ab,ab,ab,ab,12,8,15,ab,ab,12,ab
Eddie IRVINE,ab,ab,8,5,ab,3,9,ab,9,13,ab,ab,10,6,11,4,ab
Ukyo KATAYAMA,ab,8,ab,ab,ab,ab,ab,ab,7,ab,ab,10,ab,-,14,ab,ab
Pedro LAMY,-,-,-,-,-,-,-,-,-,9,10,ab,ab,9,13,11,6
Giovanni LAVAGGI,-,-,-,-,-,-,-,-,ab,ab,ab,ab,-,-,-,-,-
Jan MAGNUSSEN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-
Nigel MANSELL,-,-,10,ab,-,-,-,-,-,-,-,-,-,-,-,-,-
Pierluigi MARTINI,np,ab,12,14,7,ab,ab,7,ab,-,-,-,-,-,-,-,-
Andrea MONTERMINI,9,ab,ab,np,dsq,ab,nc,ab,8,12,ab,ab,ab,ab,ab,ab,ab
Gianni MORBIDELLI,ab,ab,13,11,9,6,14,-,-,-,-,-,-,-,ab,ab,3
Roberto MORENO,ab,nc,16,ab,ab,ab,16,ab,ab,ab,14,ab,17,ab,16,ab,ab
Hideki NODA,-,-,-,-,-,f,-,-,-,-,-,-,-,-,f,-,-
Olivier PANIS,ab,7,9,6,ab,4,8,4,ab,6,9,ab,ab,ab,8,5,2
Max PAPIS,-,-,-,-,-,-,-,ab,ab,ab,ab,7,ab,12,-,-,-
Mika SALO,7,ab,ab,10,ab,7,15,8,ab,ab,8,5,13,10,12,6,5
Domenico SCHIATTARELLA,ab,9,ab,15,ab,-,-,-,-,-,-,-,-,-,-,-,-
Michael SCHUMACHER,1,3,ab,1,1,5,1,ab,1,11,1,ab,2,1,1,1,ab
Aguri SUZUKI,8,ab,11,-,-,-,-,-,6,-,-,-,-,-,ab,np,-
Gabriele TARQUINI,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-
Jos VERSTAPPEN,ab,ab,ab,12,ab,f,-,-,-,-,-,-,-,-,-,-,-
Karl WENDLINGER,ab,ab,ab,13,-,-,-,-,-,-,-,-,-,-,-,10,ab
Katsumi YAMAMOTO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,f,-,-
