Year,1997,,,,,,,,,,,,,,,,
Points,10,6,4,3,2,1,,,,,,,,,,,
Races,Australia,Brazil,Argentina,San Marino,Monaco,Spain,Canada,France,Great Britain,Germany,Hungary,Belgium,Italy,Austria,Luxemburg,Japan,Europe
Half Points,,,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Jean ALESI,ab,6,7,5,ab,3,2,5,2,6,11,8,2,ab,2,5,13
Rubens BARRICHELLO,ab,ab,ab,ab,2,ab,ab,ab,ab,ab,ab,ab,13,14,ab,ab,ab
Gerhard BERGER,4,2,6,ab,9,10,-,-,-,1,8,6,7,10,4,8,4
David COULTHARD,1,10,ab,ab,ab,6,7,7,4,ab,ab,ab,1,2,ab,10,2
Pedro DINIZ,10,ab,ab,ab,ab,ab,8,ab,ab,ab,ab,7,ab,13,5,12,ab
Giancarlo FISICHELLA,ab,8,ab,4,6,9,3,9,7,11,ab,2,4,4,ab,7,11
Norberto FONTANA,-,-,-,-,-,-,-,ab,9,9,-,-,-,-,-,-,14
Heinz-Harald FRENTZEN,8,9,ab,1,ab,8,4,2,ab,ab,ab,3,3,3,3,2,6
Mika HAKKINEN,3,4,5,6,ab,7,ab,ab,ab,3,ab,dsq,9,ab,ab,4,1
Johnny HERBERT,ab,7,4,ab,ab,5,5,8,ab,ab,3,4,ab,8,7,6,8
Damon HILL,np,17,ab,ab,ab,ab,9,12,6,8,2,13,ab,7,8,11,ab
Eddie IRVINE,ab,16,2,3,3,12,ab,3,ab,ab,9,10,8,ab,ab,3,5
Ukyo KATAYAMA,ab,18,ab,11,10,ab,ab,11,ab,ab,10,14,ab,11,ab,ab,17
Nicola LARINI,6,11,ab,7,ab,-,-,-,-,-,-,-,-,-,-,-,-
Jan MAGNUSSEN,ab,ab,10,ab,7,13,ab,ab,ab,ab,ab,12,ab,ab,ab,ab,9
Tarso MARQUES,-,-,-,-,-,-,-,ab,10,ab,12,ab,14,exc,ab,ab,15
Gianni MORBIDELLI,-,-,-,-,-,14,10,-,-,-,ab,9,12,9,9,np,-
Shinji NAKANO,7,14,ab,ab,ab,ab,6,ab,11,7,6,ab,11,ab,ab,ab,10
Olivier PANIS,5,3,ab,8,4,2,11,-,-,-,-,-,-,-,6,ab,7
Ricardo ROSSET,nq,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mika SALO,ab,13,8,9,5,ab,ab,ab,ab,ab,13,11,ab,ab,10,ab,12
Michael SCHUMACHER,2,5,ab,2,1,4,1,1,ab,2,4,1,6,6,ab,1,ab
Ralf SCHUMACHER,ab,ab,3,ab,ab,ab,ab,6,5,5,5,ab,ab,5,ab,9,ab
Vincenzo SOSPIRI,nq,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jarno TRULLI,9,12,9,np,ab,15,ab,10,8,4,7,15,10,ab,-,-,-
Jos VERSTAPPEN,ab,15,ab,10,8,11,ab,ab,ab,10,ab,ab,ab,12,ab,13,16
Jacques VILLENEUVE,ab,1,1,ab,ab,1,ab,4,1,ab,1,5,5,1,1,dsq,3
Alexander WURZ,-,-,-,-,-,-,ab,ab,3,-,-,-,-,-,-,-,-
