Year,1999,,,,,,,,,,,,,,,
Points,10,6,4,3,2,1,,,,,,,,,,
Sprint Points,,,,,,,,,,,,,,,,
Races,Australia,Brazil,San Marino,Monaco,Spain,Canada,France,Great Britain,Austria,Germany,Hungary,Belgium,Italy,Europe,Malaysia,Japan
Half Points,,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Jean ALESI,ab,ab,6,ab,ab,ab,ab,14,ab,8,16,9,9,ab,7,6
Luca BADOER,ab,f,8,ab,ab,10,10,ab,13,10,14,ab,ab,ab,ab,ab
Rubens BARRICHELLO,5,ab,3,9,dsq,ab,3,8,ab,ab,5,10,4,3,5,8
David COULTHARD,ab,ab,2,ab,2,7,ab,1,2,5,2,1,5,ab,ab,ab
Pedro de la ROSA,6,ab,ab,ab,11,ab,11,ab,ab,ab,15,ab,ab,ab,ab,13
Pedro DINIZ,ab,ab,ab,ab,ab,6,ab,6,6,ab,ab,ab,ab,ab,ab,11
Giancarlo FISICHELLA,4,ab,5,5,9,2,ab,7,12,ab,ab,11,ab,ab,11,14
Heinz-Harald FRENTZEN,2,3,ab,4,ab,11,1,4,4,3,4,3,1,ab,6,4
Marc GENE,ab,9,9,ab,ab,8,ab,15,11,9,17,16,ab,6,9,ab
Mika HAKKINEN,ab,1,ab,3,1,1,2,ab,3,ab,1,2,ab,5,3,1
Johnny HERBERT,np,ab,10,ab,ab,5,ab,12,14,11,11,ab,ab,1,4,7
Damon HILL,ab,ab,4,ab,7,ab,ab,5,8,ab,6,6,10,ab,ab,ab
Eddie IRVINE,1,5,ab,2,4,3,6,2,1,1,3,4,6,7,1,3
Olivier PANIS,ab,6,ab,ab,ab,9,8,13,10,6,10,13,11,9,ab,ab
Mika SALO,-,-,7,ab,8,-,-,-,9,2,12,7,3,ab,-,-
Stéphane SARRAZIN,-,ab,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Michael SCHUMACHER,8,2,1,1,3,ab,5,ab,-,-,-,-,-,-,2,2
Ralf SCHUMACHER,3,4,ab,ab,5,4,4,3,ab,4,9,5,2,4,ab,5
Tora TAKAGI,7,8,ab,ab,12,ab,dsq,16,ab,ab,ab,ab,ab,ab,ab,ab
Jarno TRULLI,ab,ab,ab,7,6,ab,7,9,7,ab,8,12,ab,2,np,ab
Jacques VILLENEUVE,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,15,8,10,ab,9
Alexander WURZ,ab,7,ab,6,10,ab,ab,10,5,7,7,14,ab,ab,8,10
Alessandro ZANARDI,ab,ab,11,8,ab,ab,ab,11,ab,ab,ab,8,7,ab,10,ab
Ricardo ZONTA,ab,f,-,-,-,ab,9,ab,15,ab,13,ab,ab,8,ab,12
