Year,2000,,,,,,,,,,,,,,,,
Points,10,6,4,3,2,1,,,,,,,,,,,
Sprint Points,,,,,,,,,,,,,,,,,
Races,Australia,Brazil,San Marino,Great Britain,Spain,Europe,Monaco,Canada,France,Austria,Germany,Hungary,Belgium,Italy,USA,Japan,Malaysia
Half Points,,,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Jean ALESI,ab,ab,ab,10,ab,9,ab,ab,14,ab,ab,ab,ab,12,ab,ab,11
Rubens BARRICHELLO,2,ab,4,ab,3,4,2,2,3,3,1,4,ab,ab,2,4,3
Luciano BURTI,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-
Jenson BUTTON,ab,6,ab,5,17,10,ab,11,8,5,4,9,5,ab,ab,5,ab
David COULTHARD,ab,dsq,3,1,2,3,1,7,1,2,3,3,4,ab,5,3,2
Pedro de la ROSA,ab,8,ab,ab,ab,6,ab,ab,ab,ab,6,16,16,ab,ab,12,ab
Pedro DINIZ,ab,f,8,11,ab,7,ab,10,11,9,ab,ab,11,8,8,11,ab
Giancarlo FISICHELLA,5,2,11,7,9,5,3,3,9,ab,ab,ab,ab,11,ab,14,9
Heinz-Harald FRENTZEN,ab,3,ab,17,6,ab,10,ab,7,ab,ab,6,6,ab,3,ab,ab
Marc GENE,8,ab,ab,14,14,ab,ab,16,15,8,ab,15,14,9,12,ab,ab
Mika HAKKINEN,ab,ab,2,2,1,2,6,4,2,1,2,1,1,2,ab,2,4
Nick HEIDFELD,9,ab,ab,ab,16,exc,8,ab,12,ab,12,ab,ab,ab,9,ab,ab
Johnny HERBERT,ab,ab,10,12,13,11,9,ab,ab,7,ab,ab,8,ab,11,7,ab
Eddie IRVINE,ab,ab,7,13,11,ab,4,13,13,f,10,8,10,ab,7,8,6
Gaston MAZZACANE,ab,10,13,15,15,8,ab,12,ab,12,11,ab,17,10,ab,15,13
Mika SALO,dsq,f,6,8,7,ab,5,ab,10,6,5,10,9,7,ab,10,8
Michael SCHUMACHER,1,1,1,3,5,1,ab,1,ab,ab,ab,2,2,1,1,1,1
Ralf SCHUMACHER,3,5,ab,4,4,ab,ab,14,5,ab,7,5,3,3,ab,ab,ab
Jarno TRULLI,ab,4,15,6,12,ab,ab,6,6,ab,9,7,ab,ab,ab,13,12
Jos VERSTAPPEN,ab,7,14,ab,ab,ab,ab,5,ab,ab,ab,13,15,4,ab,ab,10
Jacques VILLENEUVE,4,ab,5,16,ab,ab,7,15,4,4,8,12,7,ab,4,6,5
Alexander WURZ,7,ab,9,9,10,12,ab,9,ab,10,ab,11,13,5,10,ab,7
Ricardo ZONTA,6,9,12,ab,8,ab,ab,8,ab,ab,ab,14,12,6,6,9,ab
