Year,2010,,,,,,,,,,,,,,,,,,
Points,25,18,15,12,10,8,6,4,2,1,,,,,,,,,
Sprint Points,,,,,,,,,,,,,,,,,,,
Races,Bahrain,Australia,Malaysia,China,Spain,Monaco,Turkey,Canada,Europe,Great Britain,Germany,Hungary,Belgium,Italy,Singapore,Japan,Korea,Brazil,Abu Dhabi
Half Points,,,,,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Jaime ALGUERSUARI,13,11,9,13,10,11,12,12,13,ab,15,ab,13,15,12,11,11,11,9
Fernando ALONSO,1,4,13,4,2,6,8,3,8,14,1,2,ab,1,1,3,1,3,7
Rubens BARRICHELLO,10,8,12,12,9,ab,14,14,4,5,12,10,ab,10,6,9,7,14,12
Sébastien BUEMI,16,ab,11,ab,ab,10,16,8,9,12,ab,12,12,11,14,10,ab,13,15
Jenson BUTTON,7,1,8,1,5,ab,2,2,3,4,5,8,ab,2,4,4,12,5,3
Karun CHANDHOK,ab,14,15,17,ab,14,20,18,18,19,-,-,-,-,-,-,-,-,-
Pedro de la ROSA,ab,12,np,ab,ab,ab,11,ab,12,ab,14,7,11,14,-,-,-,-,-
Lucas di GRASSI,ab,ab,14,ab,19,ab,19,19,17,ab,ab,18,17,20,15,np,ab,nc,18
Timo GLOCK,ab,ab,ab,np,18,ab,18,ab,19,18,18,16,18,17,ab,14,ab,20,ab
Lewis HAMILTON,3,6,6,2,14,5,1,1,2,2,4,ab,1,ab,ab,5,2,4,2
Nick HEIDFELD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ab,8,9,17,11
Nico HULKENBERG,14,ab,10,15,16,ab,17,13,ab,10,13,6,14,7,10,ab,10,8,16
Christian KLIEN,-,-,-,-,t,-,-,-,t,-,-,-,-,-,ab,-,-,22,20
Kamui KOBAYASHI,ab,ab,ab,ab,12,ab,10,ab,7,6,11,9,8,ab,ab,7,8,10,14
Heikki KOVALAINEN,15,13,nc,14,np,ab,ab,16,ab,17,ab,14,16,18,16,12,13,18,17
Robert KUBICA,11,2,4,5,8,3,6,7,5,ab,7,ab,3,8,7,ab,5,9,5
Vitantonio LIUZZI,9,7,ab,ab,15,9,13,9,16,11,16,13,10,12,ab,ab,6,ab,ab
Felipe MASSA,2,3,7,9,6,4,7,15,11,15,2,4,4,3,8,ab,3,15,10
Vitaly PETROV,ab,ab,ab,7,11,13,15,17,14,13,10,5,9,13,11,ab,ab,16,6
Nico ROSBERG,5,5,3,3,13,7,5,6,10,3,8,ab,6,5,5,17,ab,6,4
Michael SCHUMACHER,6,10,ab,10,4,12,4,11,15,9,9,11,7,9,13,6,4,7,ab
Bruno SENNA,ab,ab,16,16,ab,ab,ab,ab,20,-,19,17,ab,ab,ab,15,14,21,19
Adrian SUTIL,12,ab,5,11,7,8,9,10,6,8,17,ab,5,16,9,ab,ab,12,13
Jarno TRULLI,17,np,17,ab,17,15,ab,ab,21,16,ab,15,19,ab,ab,13,ab,19,21
Sebastian VETTEL,4,ab,1,6,3,2,ab,4,1,7,3,3,15,4,2,1,ab,1,1
Mark WEBBER,8,9,2,8,1,1,3,5,ab,1,6,1,2,6,3,2,ab,2,8
Sakon YAMAMOTO,-,-,-,-,-,-,t,-,-,20,ab,19,20,19,f,16,15,-,-
