Year,2011,,,,,,,,,,,,,,,,,,
Points,25,18,15,12,10,8,6,4,2,1,,,,,,,,,
Races,Australia,Malaysia,China,Turkey,Spain,Monaco,Canada,Europe,Great Britain,Germany,Hungary,Belgium,Italy,Singapore,Japan,Korea,India,Abu Dhabi,Brazil
Half Points,,,,,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Jaime ALGUERSUARI,11,14,ab,16,16,ab,8,8,10,12,10,ab,7,21,15,7,8,15,11
Fernando ALONSO,4,6,7,3,5,2,ab,2,1,2,3,4,3,4,2,5,3,2,4
Rubens BARRICHELLO,ab,ab,13,15,17,9,9,12,13,ab,13,16,12,13,17,12,15,12,14
Sébastien BUEMI,8,13,14,9,14,10,10,13,ab,15,8,ab,10,12,ab,9,ab,ab,12
Jenson BUTTON,6,2,4,6,3,3,1,6,ab,ab,1,3,2,2,1,4,2,3,3
Karun CHANDHOK,t,-,-,t,-,-,-,t,t,20,-,t,t,-,t,t,t,-,-
Jérôme d'AMBROSIO,14,ab,20,20,20,15,14,22,17,18,19,17,ab,18,21,20,16,ab,19
Pedro de la ROSA,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-
Paul di RESTA,10,10,11,ab,12,12,18,14,15,13,7,11,8,6,12,10,13,9,8
Timo GLOCK,nc,16,21,np,19,ab,15,21,16,17,17,18,15,ab,20,18,ab,19,ab
Lewis HAMILTON,2,8,1,4,2,6,ab,4,4,1,4,ab,4,5,5,2,7,1,ab
Nick HEIDFELD,12,3,12,7,8,8,ab,10,8,ab,ab,-,-,-,-,-,-,-,-
Narain KARTHIKEYAN,nq,ab,23,21,21,17,17,24,-,t,-,-,-,t,t,t,17,-,-
Kamui KOBAYASHI,dsq,7,10,10,10,5,7,16,ab,9,11,12,ab,14,13,15,ab,10,9
Heikki KOVALAINEN,ab,15,16,19,ab,14,ab,19,ab,16,ab,15,13,16,18,14,14,17,16
Vitantonio LIUZZI,nq,ab,22,22,ab,16,13,23,18,ab,20,19,ab,20,23,21,-,20,ab
Pastor MALDONADO,ab,ab,18,17,15,18,ab,18,14,14,16,10,11,11,14,ab,ab,14,ab
Felipe MASSA,7,5,6,11,ab,ab,6,5,5,5,6,8,6,9,7,6,ab,5,5
Sergio PEREZ,dsq,ab,17,14,9,np,f,11,7,11,15,ab,ab,10,8,16,10,11,13
Vitaly PETROV,3,17,9,8,11,ab,5,15,12,10,12,9,ab,17,9,ab,11,13,10
Daniel RICCIARDO,t,t,t,t,t,t,t,t,19,19,18,ab,nc,19,22,19,18,ab,20
Nico ROSBERG,ab,12,5,5,7,11,11,7,6,7,9,6,ab,7,10,8,6,6,7
Michael SCHUMACHER,ab,9,8,12,6,ab,4,17,9,8,ab,5,5,ab,6,ab,5,7,15
Bruno SENNA,-,-,-,-,-,-,-,-,-,-,t,13,9,15,16,13,12,16,17
Adrian SUTIL,9,11,15,13,13,7,ab,9,11,6,14,7,ab,8,11,11,9,8,6
Jarno TRULLI,13,ab,19,18,18,13,16,20,ab,-,ab,14,14,ab,19,17,19,18,18
Sebastian VETTEL,1,1,2,1,1,1,2,1,2,4,2,1,1,1,3,1,1,ab,2
Mark WEBBER,5,4,3,2,4,4,3,3,3,3,5,2,ab,3,4,3,4,4,1
