Year,2015,,,,,,,,,,,,,,,,,,
Points,25,18,15,12,10,8,6,4,2,1,,,,,,,,,
Sprint Points,,,,,,,,,,,,,,,,,,,
Races,Australia,Malaysia,China,Bahrain,Spain,Monaco,Canada,Austria,Great Britain,Hungary,Belgium,Italy,Singapore,Japan,Russia,USA,Mexico,Brazil,Abu Dhabi
Half Points,,,,,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Fernando ALONSO,-,ab,12,11,ab,ab,ab,ab,10,5,13,18,ab,11,11,11,ab,15,17
Valtteri BOTTAS,f,5,6,4,4,14,3,5,5,13,9,4,5,5,12,ab,3,5,13
Jenson BUTTON,11,ab,14,np,16,8,ab,ab,ab,9,14,14,ab,16,9,6,14,14,12
Marcus ERICSSON,8,ab,10,14,14,13,14,13,11,10,10,9,11,14,ab,ab,12,16,14
Romain GROSJEAN,ab,11,7,7,8,12,10,ab,ab,7,3,ab,13,7,ab,ab,10,8,9
Lewis HAMILTON,1,2,1,1,2,3,1,2,1,6,1,1,ab,1,1,1,2,2,2
Nico HULKENBERG,7,14,ab,13,15,11,8,6,7,ab,np,7,ab,6,ab,ab,7,6,7
Daniil KVYAT,np,9,ab,9,10,4,9,12,6,2,4,10,6,13,5,ab,4,7,10
Pastor MALDONADO,ab,ab,ab,15,ab,ab,7,7,ab,14,ab,ab,12,8,7,8,11,10,ab
Felipe MASSA,4,6,5,10,6,15,6,3,4,12,6,3,ab,17,4,ab,6,dsq,8
Roberto MERHI,nq,15,16,17,18,16,ab,14,12,15,15,16,-,-,13,-,-,-,19
Felipe NASR,5,12,8,12,12,9,16,11,np,11,11,13,10,20,6,9,ab,13,15
Sergio PEREZ,10,13,11,8,13,7,11,9,9,ab,5,6,7,12,3,5,8,12,5
Kimi RAIKKONEN,ab,4,4,2,5,6,4,ab,8,ab,7,5,3,4,8,ab,ab,4,3
Daniel RICCIARDO,6,10,9,6,7,5,13,10,ab,3,ab,8,2,15,15,10,5,11,6
Nico ROSBERG,2,3,2,3,1,1,2,1,2,8,2,17,4,2,ab,2,1,1,1
Alexander ROSSI,-,-,-,-,-,-,-,-,-,-,-,-,14,18,-,12,15,18,-
Carlos SAINZ,9,8,13,ab,9,10,12,ab,ab,ab,ab,11,9,10,ab,7,13,ab,11
Will STEVENS,nq,f,15,16,17,17,17,ab,13,16,16,15,15,19,14,ab,16,17,18
Max VERSTAPPEN,ab,7,17,ab,11,ab,15,8,ab,4,8,12,8,9,10,4,9,9,16
Sebastian VETTEL,3,1,3,5,3,2,5,4,3,1,12,2,1,3,2,3,ab,3,4
