Year,2018,,,,,,,,,,,,,,,,,,,,
Points,25,18,15,12,10,8,6,4,2,1,,,,,,,,,,,
Races,Australia,Bahrain,China,Azerbaijan,Spain,Monaco,Canada,France,Austria,Great Britain,Germany,Hungary,Belgium,Italy,Singapore,Russia,Japan,USA,Mexico,Brazil,Abu Dhabi
Half Points,,,,,,,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Fernando ALONSO,5,7,7,7,8,ab,ab,16,8,8,16,8,ab,ab,7,14,14,ab,ab,17,11
Valtteri BOTTAS,8,2,2,14,2,5,2,7,ab,4,2,5,4,3,4,2,2,5,5,5,5
Marcus ERICSSON,ab,9,16,11,13,11,15,13,10,ab,9,15,10,15,11,13,12,10,9,ab,ab
Pierre GASLY,ab,4,18,12,ab,7,11,ab,11,13,14,6,9,14,13,ab,11,12,10,13,ab
Romain GROSJEAN,ab,13,17,ab,ab,15,12,11,4,ab,6,10,7,dsq,15,11,8,ab,16,8,9
Lewis HAMILTON,2,3,4,1,1,3,5,1,ab,2,1,1,2,1,1,1,1,3,4,1,1
Brendon HARTLEY,15,17,20,10,12,19,ab,14,ab,ab,10,11,14,ab,17,ab,13,9,14,11,12
Nico HULKENBERG,7,6,6,ab,ab,8,7,9,ab,6,5,12,ab,13,10,12,ab,6,6,ab,ab
Charles LECLERC,13,12,19,6,10,18,10,10,9,ab,15,ab,ab,11,9,7,ab,ab,7,7,7
Kevin MAGNUSSEN,ab,5,10,13,6,13,13,6,5,9,11,7,8,16,18,8,ab,dsq,15,9,10
Esteban OCON,12,10,11,ab,ab,6,9,ab,6,7,8,13,6,6,ab,9,9,dsq,11,14,ab
Sergio PEREZ,11,16,12,3,9,12,14,ab,7,10,7,14,5,7,16,10,7,8,ab,10,8
Kimi RAIKKONEN,3,ab,3,2,ab,4,6,3,2,3,3,3,ab,2,5,4,5,1,3,3,ab
Daniel RICCIARDO,4,ab,1,ab,5,1,4,4,ab,5,ab,4,ab,ab,6,6,4,ab,ab,4,4
Carlos SAINZ,10,11,9,5,7,10,8,8,12,ab,12,9,11,8,8,17,10,7,ab,12,6
Sergey SIROTKIN,ab,15,15,ab,14,16,17,15,13,14,ab,16,12,10,19,18,16,13,13,16,15
Lance STROLL,14,14,14,8,11,17,ab,17,14,12,ab,17,13,9,14,15,17,14,12,18,13
Stoffel VANDOORNE,9,8,13,9,ab,14,16,12,15,11,13,ab,15,12,12,16,15,11,8,15,14
Max VERSTAPPEN,6,ab,5,ab,3,9,3,2,1,15,4,ab,3,5,2,5,3,2,1,2,3
Sebastian VETTEL,1,1,8,4,4,2,1,5,3,1,ab,2,1,4,3,3,6,4,2,6,2
