Year,2019,,,,,,,,,,,,,,,,,,,,
Points,25,18,15,12,10,8,6,4,2,1,,,,,,,,,,,
Sprint Points,,,,,,,,,,,,,,,,,,,,,
Races,Australia,Bahrain,China,Azerbaijan,Spain,Monaco,Canada,France,Austria,Great Britain,Germany,Hungary,Belgium,Italy,Singapore,Russia,Japan,Mexico,USA,Brazil,Abu Dhabi
Half Points,,,,,,,,,,,,,,,,,,,,,
Fastest Lap Point,Valtteri BOTTAS,Charles LECLERC,Pierre GASLY,Charles LECLERC,Lewis HAMILTON,Pierre GASLY,Valtteri BOTTAS,Sebastian VETTEL,Max VERSTAPPEN,Lewis HAMILTON,Max VERSTAPPEN,Max VERSTAPPEN,Sebastian VETTEL,Lewis HAMILTON,,Lewis HAMILTON,Lewis HAMILTON,Charles LECLERC,Charles LECLERC,,Lewis HAMILTON
,,,,,,,,,,,,,,,,,,,,,
Alexander ALBON,14,9,10,11,11,8,ab,15,15,12,6,10,5,6,6,5,4,5,5,14,6
Valtteri BOTTAS,1,2,2,1,2,3,4,2,3,2,ab,8,3,2,5,2,1,3,1,ab,4
Pierre GASLY,11,8,6,ab,6,5,8,10,7,4,14,6,9,11,8,14,7,9,16,2,18
Antonio GIOVINAZZI,15,11,15,12,16,19,13,16,10,ab,13,18,18,9,10,15,14,14,14,5,16
Romain GROSJEAN,ab,ab,11,ab,10,10,14,ab,16,ab,7,ab,13,16,11,ab,13,17,15,13,15
Lewis HAMILTON,2,1,1,2,1,1,1,1,5,1,9,1,2,3,4,1,3,1,2,7,1
Nico HULKENBERG,7,17,ab,14,13,13,7,8,13,10,ab,12,8,5,9,10,dsq,10,9,15,12
Robert KUBICA,17,16,17,16,18,18,18,18,20,15,10,19,17,17,16,ab,17,18,ab,16,19
Daniil KVYAT,10,12,ab,ab,9,7,10,14,17,9,3,15,7,ab,15,12,10,11,12,10,9
Charles LECLERC,5,3,5,5,5,ab,3,3,2,3,ab,4,1,1,2,3,6,4,4,18,3
Kevin MAGNUSSEN,6,13,13,13,7,14,17,17,19,ab,8,13,12,ab,17,9,15,15,18,11,14
Lando NORRIS,12,6,18,8,ab,11,ab,9,6,11,ab,9,11,10,7,8,11,ab,7,8,8
Sergio PEREZ,13,10,8,6,15,12,12,12,11,17,ab,11,6,7,ab,7,8,7,10,9,7
Kimi RAIKKONEN,8,7,9,10,14,17,15,7,9,8,12,7,16,15,ab,13,12,ab,11,4,13
Daniel RICCIARDO,ab,18,7,ab,12,9,6,11,12,7,ab,14,14,4,14,ab,dsq,8,6,6,11
George RUSSELL,16,15,16,15,17,15,16,19,18,14,11,16,15,14,ab,ab,16,16,17,12,17
Carlos SAINZ,ab,19,14,7,8,6,11,6,8,6,5,5,ab,ab,12,6,5,13,8,3,10
Lance STROLL,9,14,12,9,ab,16,9,13,14,13,4,17,10,12,13,11,9,12,13,19,ab
Max VERSTAPPEN,3,4,4,4,3,4,5,4,1,5,1,2,ab,8,3,4,ab,6,3,1,2
Sebastian VETTEL,4,5,3,3,4,2,2,5,4,16,2,3,4,13,1,ab,2,2,ab,17,5
