Year,2020,,,,,,,,,,,,,,,,
Points,25,18,15,12,10,8,6,4,2,1,,,,,,,
Races,Austria,Styria,Hungary,Great Britain,70th Anniversary,Spain,Belgium,Italy,Tuscany,Russia,Eifel,Portugal,Emilia-Romagna,Turkey,Bahrain,Sakhir,Abu Dhabi
Half Points,,,,,,,,,,,,,,,,,
Fastest Lap Point,Lando NORRIS,Carlos SAINZ,Lewis HAMILTON,Max VERSTAPPEN,Lewis HAMILTON,Valtteri BOTTAS,Daniel RICCIARDO,Lewis HAMILTON,Lewis HAMILTON,Valtteri BOTTAS,Max VERSTAPPEN,Lewis HAMILTON,Lewis HAMILTON,Lando NORRIS,Max VERSTAPPEN,George RUSSELL,Daniel RICCIARDO
,,,,,,,,,,,,,,,,,
Jack AITKEN,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-
Alexander ALBON,13,4,5,8,5,8,6,15,3,10,ab,12,15,7,3,6,4
Valtteri BOTTAS,1,2,3,11,3,3,2,5,2,1,ab,2,2,14,8,8,2
Pietro FITTIPALDI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,19
Pierre GASLY,7,15,ab,7,11,9,8,1,ab,9,6,5,ab,13,6,11,8
Antonio GIOVINAZZI,9,14,17,14,17,16,ab,16,ab,11,10,15,10,ab,16,13,16
Romain GROSJEAN,ab,13,16,16,16,19,15,12,12,17,9,17,14,ab,ab,-,-
Lewis HAMILTON,4,1,1,1,2,1,1,7,1,3,1,1,1,1,1,-,3
Nico HULKENBERG,-,-,-,np,7,-,-,-,-,-,8,-,-,-,-,-,-
Daniil KVYAT,12,10,12,ab,10,12,11,9,7,8,15,19,4,12,11,7,11
Nicholas LATIFI,11,17,19,15,19,18,16,11,ab,16,14,18,11,ab,14,ab,17
Charles LECLERC,2,ab,11,3,4,ab,14,ab,8,6,7,4,5,4,10,ab,13
Kevin MAGNUSSEN,ab,12,10,ab,ab,15,17,ab,ab,12,13,16,ab,17,17,15,18
Lando NORRIS,3,5,13,5,9,10,7,4,6,15,ab,13,8,8,4,10,5
Esteban OCON,8,ab,14,6,8,13,5,8,ab,7,ab,8,ab,11,9,2,9
Sergio PEREZ,6,6,7,f,-,5,10,10,5,4,4,7,6,2,18,1,ab
Kimi RAIKKONEN,ab,11,15,17,15,14,12,13,9,14,12,11,9,15,15,14,12
Daniel RICCIARDO,ab,8,8,4,14,11,4,6,4,5,3,9,3,10,7,5,7
George RUSSELL,ab,16,18,12,18,17,ab,14,11,18,ab,14,ab,16,12,9,15
Carlos SAINZ,5,9,9,13,13,6,np,2,ab,ab,5,6,7,5,5,4,6
Lance STROLL,ab,7,4,9,6,4,9,3,ab,ab,f,ab,13,9,ab,3,10
Max VERSTAPPEN,ab,3,2,2,1,2,3,ab,ab,2,2,3,ab,6,2,ab,1
Sebastian VETTEL,10,ab,6,10,12,7,13,ab,10,13,11,10,12,3,13,12,14
